locus	sex	_sex	log2fluor	Foldx	scaffold	start location
FBtr0165377	male	female	0.6749	1.596486109	6500	3000906
FBtr0165387	male	female	1.7767	3.426415242	6500	2999374
FBtr0165408	male	female	-1.2846	0.410484599	6500	2973931
FBtr0165429	male	female	-1.0554	0.481163796	6500	2965815
FBtr0165440	male	female	-1.2452	0.421849413	6500	2962255
FBtr0165450	male	female	-0.6173	0.651889797	6500	2958139
FBtr0165504	male	female	-1.9225	0.263796988	6500	2919643
FBtr0165526	male	female	-1.537	0.344601288	6500	2902587
FBtr0165546	male	female	3.1146	8.661398582	6500	2890086
FBtr0165557	male	female	2.3811	5.20933783	6500	2873515
FBtr0165567	male	female	2.3659	5.15474121	6500	2871733
FBtr0165589	male	female	-1.4265	0.372032355	6500	2856131
FBtr0165600	male	female	-1.8433	0.278683598	6500	2847957
FBtr0165610	male	female	1.2786	2.426034388	6500	2847105
FBtr0165666	male	female	-1.3923	0.380956982	6500	2762873
FBtr0165677	male	female	-2.67	0.157126672	6500	2754117
FBtr0165688	male	female	-0.8184	0.567070495	6500	2748480
FBtr0165721	male	female	0.6928	1.616417639	6500	2558384
FBtr0165743	male	female	-1.2391	0.423636852	6500	2539576
FBtr0165763	male	female	0.649	1.568080908	6500	2529339
FBtr0165774	male	female	-2.2159	0.215252217	6500	2521276
FBtr0165785	male	female	-1.5954	0.330930461	6500	2518118
FBtr0165807	male	female	-1.2374	0.424136339	6500	2487754
FBtr0165829	male	female	-1.4869	0.356778356	6500	2483882
FBtr0165850	male	female	-0.652	0.636397468	6500	2439321
FBtr0165861	male	female	0.9479	1.929062652	6500	2430999
FBtr0165883	male	female	-1.2443	0.422112659	6500	2338478
FBtr0165904	male	female	-1.1083	0.463840275	6500	2324334
FBtr0165915	male	female	-0.7747	0.584510157	6500	2321881
FBtr0165937	male	female	-0.6047	0.657608112	6500	2237224
FBtr0165948	male	female	0.6282	1.545635355	6500	2142859
FBtr0165959	male	female	-0.6117	0.654425105	6500	2095150
FBtr0165981	male	female	4.2374	18.86185942	6500	1897130
FBtr0166002	male	female	1.5702	2.969458767	6500	1878479
FBtr0166013	male	female	0.8817	1.842545186	6500	1835976
FBtr0166024	male	female	0.9721	1.961693978	6500	1835025
FBtr0166057	male	female	-1.123	0.459138081	6500	1675203
FBtr0166068	male	female	1.6027	3.037111764	6500	1646003
FBtr0166078	male	female	-1.445	0.367292158	6500	1642187
FBtr0166089	male	female	-0.7472	0.595758692	6500	1639746
FBtr0166100	male	female	-0.7392	0.599071456	6500	1638354
FBtr0166133	male	female	3.2624	9.595779457	6500	1629698
FBtr0166155	male	female	-1.452	0.365514362	6500	1621504
FBtr0166188	male	female	-1.0818	0.47243901	6500	1598287
FBtr0166199	male	female	2.1657	4.486840813	6500	1592761
FBtr0166210	male	female	0.8184	1.76344918	6500	1559118
FBtr0166221	male	female	-1.1184	0.460604369	6500	1546925
FBtr0166232	male	female	1.0549	2.077574195	6500	1544987
FBtr0166264	male	female	0.842	1.792533399	6500	1507500
FBtr0166319	male	female	-0.7264	0.604410237	6500	1373163
FBtr0166341	male	female	2.0373	4.104766055	6500	1315094
FBtr0166374	male	female	-3.1032	0.116370719	6500	1203426
FBtr0166396	male	female	0.9491	1.930667869	6500	1195508
FBtr0166416	male	female	-0.9776	0.50782383	6500	1152399
FBtr0166438	male	female	0.892	1.855746953	6500	1121593
FBtr0166449	male	female	-0.6336	0.644566002	6500	1111967
FBtr0166482	male	female	1.5284	2.884657429	6500	1045861
FBtr0166492	male	female	-0.86	0.550952558	6500	1042107
FBtr0166514	male	female	-0.7257	0.604703569	6500	1022130
FBtr0166524	male	female	-1.8244	0.282358506	6500	1019284
FBtr0166535	male	female	-1.4611	0.363216085	6500	1001297
FBtr0166545	male	female	-0.7511	0.594150368	6500	999186
FBtr0166567	male	female	0.9509	1.933078199	6500	844458
FBtr0166578	male	female	3.6374	12.44418636	6500	823726
FBtr0166589	male	female	-1.1137	0.462107369	6500	800077
FBtr0166600	male	female	1.3973	2.634081529	6500	797788
FBtr0166611	male	female	-1.4398	0.368618402	6500	796646
FBtr0166622	male	female	-0.756	0.592135806	6500	787590
FBtr0166643	male	female	-1.973	0.254722799	6500	749723
FBtr0166654	male	female	-1.473	0.360232437	6500	724363
FBtr0166663	male	female	4.8219	28.28372045	6500	697811
FBtr0166674	male	female	-0.7335	0.601443033	6500	679696
FBtr0166685	male	female	5.105	34.41582049	6500	678402
FBtr0166696	male	female	0.7549	1.687514619	6500	677074
FBtr0166707	male	female	-4.1221	0.057428074	6500	674748
FBtr0166716	male	female	4.092	17.05354778	6500	670204
FBtr0166727	male	female	1.2383	2.359203716	6500	666845
FBtr0166738	male	female	2.3452	5.0813083	6500	645322
FBtr0166747	male	female	1.587	3.004239854	6500	574161
FBtr0166763	male	female	-0.6413	0.641134967	6500	543005
FBtr0166774	male	female	-1.2049	0.433799411	6500	537096
FBtr0166785	male	female	4.1481	17.72974646	6500	513776
FBtr0166796	male	female	4.2809	19.4392412	6500	486623
FBtr0166807	male	female	-0.6835	0.622652875	6500	481112
FBtr0166872	male	female	2.0164	4.045729882	6500	268997
FBtr0166960	male	female	-1.6347	0.322037366	6500	177382
FBtr0166971	male	female	-0.8187	0.566952589	6500	172312
FBtr0166982	male	female	-0.715	0.609205132	6500	141036
FBtr0166993	male	female	-0.9929	0.502466737	6500	129814
FBtr0167143	male	female	-0.7908	0.578023479	6500	137719
FBtr0167154	male	female	0.6249	1.542103931	6500	157670
FBtr0167165	male	female	0.8448	1.796015748	6500	190357
FBtr0167196	male	female	-1.5709	0.336598348	6500	267953
FBtr0167218	male	female	-0.6588	0.633404929	6500	321065
FBtr0167228	male	female	4.4003	21.11651717	6500	335382
FBtr0167232	male	female	1.0115	2.016006094	6500	365263
FBtr0167237	male	female	0.6787	1.600696731	6500	415786
FBtr0167243	male	female	0.7306	1.659329044	6500	463072
FBtr0167255	male	female	-1.2929	0.408129811	6500	478959
FBtr0167266	male	female	-1.6855	0.310895147	6500	506928
FBtr0167288	male	female	0.9803	1.972875614	6500	534993
FBtr0167299	male	female	3.6559	12.60478845	6500	537601
FBtr0167310	male	female	-0.8404	0.558488702	6500	539892
FBtr0167343	male	female	-0.6016	0.65902267	6500	590146
FBtr0167354	male	female	-0.6602	0.632790568	6500	591952
FBtr0167364	male	female	0.7532	1.685527307	6500	594482
FBtr0167397	male	female	-1.2112	0.431909214	6500	675782
FBtr0167418	male	female	0.6842	1.606810729	6500	711196
FBtr0167421	male	female	0.6967	1.62079317	6500	714172
FBtr0167432	male	female	1.1637	2.24031252	6500	718953
FBtr0167443	male	female	0.7445	1.675393522	6500	727602
FBtr0167454	male	female	1.2355	2.354629385	6500	731613
FBtr0167499	male	female	4.4144	21.32390862	6500	779689
FBtr0167565	male	female	4.5498	23.42212391	6500	998319
FBtr0167609	male	female	-0.709	0.611744021	6500	1030242
FBtr0167625	male	female	-1.8455	0.278258951	6500	31447128
FBtr0167627	male	female	-0.906	0.533662669	6500	24747083
FBtr0167628	male	female	0.66	1.580082624	6500	15313421
FBtr0167629	male	female	1.3375	2.527130209	6500	12829220
FBtr0167631	male	female	0.8725	1.830832745	6500	2913430
FBtr0167635	male	female	0.896	1.860899315	6500	2862398
FBtr0167636	male	female	1.3935	2.627152595	6500	4685080
FBtr0167637	male	female	-1.82	0.283220971	6500	4725610
FBtr0167638	male	female	2.2991	4.9215065	6500	9255910
FBtr0167640	male	female	3.0788	8.449113626	6500	18762137
FBtr0167643	male	female	-2.3691	0.19356634	6500	1044445
FBtr0167675	male	female	1.1023	2.146966976	6500	1064741
FBtr0167685	male	female	-0.7638	0.588943034	6500	1065261
FBtr0167696	male	female	-1.5815	0.334134302	6500	1101999
FBtr0167697	male	female	-1.3886	0.381935255	6500	1116397
FBtr0167700	male	female	-0.7585	0.591110601	6500	1145937
FBtr0167702	male	female	-1.197	0.436181353	6500	1174268
FBtr0167704	male	female	3.5262	11.52104759	6500	1183749
FBtr0167709	male	female	-0.7452	0.596585162	6500	1204495
FBtr0167710	male	female	1.0055	2.007639171	6500	1210981
FBtr0167714	male	female	1.9698	3.917138122	6500	1254564
FBtr0167715	male	female	0.6008	1.516557291	6500	1259431
FBtr0167716	male	female	0.6632	1.583591249	6500	1278370
FBtr0167718	male	female	2.1614	4.473487546	6500	1338456
FBtr0167720	male	female	4.3244	20.03429726	6500	1491876
FBtr0167722	male	female	4.7103	26.17830893	6500	1534325
FBtr0167724	male	female	3.4747	11.1170338	6500	1543363
FBtr0167728	male	female	-1.1424	0.453005352	6500	1601799
FBtr0167731	male	female	0.6597	1.579754089	6500	1609742
FBtr0167732	male	female	0.7344	1.66370541	6500	1617500
FBtr0167733	male	female	-2.593	0.16574072	6500	1622928
FBtr0167736	male	female	3.71	13.08643294	6500	1628780
FBtr0167737	male	female	-0.897	0.537002236	6500	1634263
FBtr0167739	male	female	-1.4381	0.36905302	6500	1641018
FBtr0167742	male	female	4.535	23.18307447	6500	1781728
FBtr0167743	male	female	-0.9241	0.527009181	6500	1811125
FBtr0167745	male	female	3.5796	11.95547877	6500	1829553
FBtr0167746	male	female	0.7811	1.718440619	6500	1831401
FBtr0167749	male	female	0.7535	1.685877839	6500	2049243
FBtr0167750	male	female	-1.5119	0.350649117	6500	2052054
FBtr0167752	male	female	0.7433	1.674000548	6500	2340507
FBtr0167753	male	female	-1.7973	0.287712538	6500	2341118
FBtr0167755	male	female	-0.9796	0.507120324	6500	2430015
FBtr0167757	male	female	3.2509	9.5195937	6500	2462324
FBtr0167758	male	female	5.211	37.03968694	6500	2515246
FBtr0167759	male	female	-0.9376	0.522100701	6500	2520558
FBtr0167760	male	female	-1.7812	0.290941298	6500	2523809
FBtr0167762	male	female	-0.8982	0.536555756	6500	2541158
FBtr0167763	male	female	-1.5982	0.33028881	6500	2544541
FBtr0167765	male	female	-2.9828	0.126499185	6500	2563630
FBtr0167768	male	female	-0.9876	0.504316034	6500	2685336
FBtr0167771	male	female	0.7058	1.63104886	6500	2704756
FBtr0167773	male	female	0.7945	1.734476146	6500	2725839
FBtr0167774	male	female	2.9944	7.969007196	6500	2737107
FBtr0167775	male	female	-0.6454	0.63931551	6500	2751887
FBtr0167778	male	female	-1.6196	0.325425679	6500	2763879
FBtr0167779	male	female	0.638	1.556170353	6500	2778583
FBtr0167784	male	female	0.6503	1.569494529	6500	2838789
FBtr0167786	male	female	1.9066	3.74924473	6500	2854011
FBtr0167787	male	female	-1.0849	0.471424944	6500	2861359
FBtr0167788	male	female	2.059	4.166973716	6500	2863246
FBtr0167789	male	female	2.2358	4.710238135	6500	2879720
FBtr0167791	male	female	-1.1029	0.46557968	6500	2904190
FBtr0167792	male	female	-0.6407	0.641401663	6500	2905491
FBtr0167793	male	female	-0.9032	0.534699414	6500	2915013
FBtr0167796	male	female	-0.7316	0.602235643	6500	2948946
FBtr0167798	male	female	-0.8748	0.54532946	6500	2960163
FBtr0167799	male	female	-1.2689	0.414976056	6500	2963439
FBtr0167801	male	female	-1.709	0.30587201	6500	2971457
FBtr0167802	male	female	-1.1846	0.4399465	6500	2991299
FBtr0167804	male	female	5.3495	40.77180719	6500	3177604
FBtr0167809	male	female	-1.0945	0.468298395	6500	3345530
FBtr0167810	male	female	3.9728	15.70116823	6500	3348575
FBtr0167811	male	female	-0.6077	0.656242075	6500	3424903
FBtr0167813	male	female	3.1619	8.950076415	6500	3560130
FBtr0167814	male	female	1.0236	2.032985605	6500	3572701
FBtr0167815	male	female	5.5203	45.89611077	6500	3583404
FBtr0167818	male	female	3.0508	8.286713246	6500	3793262
FBtr0167820	male	female	-1.6184	0.325696473	6500	3824805
FBtr0167822	male	female	1.7566	3.379008548	6500	3829648
FBtr0167823	male	female	-1.1963	0.436393041	6500	3836353
FBtr0167826	male	female	4.987	31.71294602	6500	3856197
FBtr0167828	male	female	4.1905	18.25854629	6500	3895690
FBtr0167829	male	female	0.6569	1.576691056	6500	3897057
FBtr0167832	male	female	-0.6254	0.648240022	6500	3921629
FBtr0167833	male	female	4.7192	26.34030234	6500	3937717
FBtr0167834	male	female	-1.7005	0.307679451	6500	3940396
FBtr0167835	male	female	-1.1265	0.458025555	6500	3941613
FBtr0167836	male	female	-0.6389	0.642202417	6500	3972653
FBtr0167839	male	female	0.6988	1.623154129	6500	4178228
FBtr0167840	male	female	3.0434	8.244317122	6500	4210408
FBtr0167843	male	female	-2.5419	0.171716431	6500	4231270
FBtr0167845	male	female	1.5157	2.859375321	6500	4276365
FBtr0167847	male	female	-1.4861	0.35697625	6500	4293365
FBtr0167848	male	female	3.9903	15.8927844	6500	4297205
FBtr0167849	male	female	-0.7859	0.579990028	6500	4300389
FBtr0167855	male	female	-1.6495	0.318750608	6500	4511774
FBtr0167856	male	female	-1.6038	0.329009238	6500	4520453
FBtr0167859	male	female	1.4771	2.783885741	6500	4665655
FBtr0167860	male	female	3.7131	13.11458272	6500	4670830
FBtr0167861	male	female	-1.3361	0.39608995	6500	4738876
FBtr0167862	male	female	2.4874	5.607664356	6500	4742072
FBtr0167863	male	female	-0.9329	0.52380437	6500	4752423
FBtr0167864	male	female	-0.8066	0.571727662	6500	4753832
FBtr0167865	male	female	-0.9889	0.503861804	6500	4766304
FBtr0167873	male	female	2.2632	4.800550981	6500	5347631
FBtr0167874	male	female	-0.8581	0.551678629	6500	5374811
FBtr0167875	male	female	0.6238	1.540928584	6500	5381159
FBtr0167876	male	female	-0.8729	0.546048121	6500	5382231
FBtr0167877	male	female	-1.4917	0.355593289	6500	5385030
FBtr0167878	male	female	-0.8773	0.544385294	6500	5389658
FBtr0167880	male	female	1.4061	2.650197725	6500	5505932
FBtr0167881	male	female	-0.7519	0.593820992	6500	5508367
FBtr0167882	male	female	-1.7717	0.292863438	6500	5511127
FBtr0167884	male	female	-1.417	0.374490234	6500	5536212
FBtr0167885	male	female	1.085	2.121375483	6500	5546588
FBtr0167888	male	female	1.665	3.171136546	6500	5575704
FBtr0167889	male	female	0.6352	1.553153048	6500	5584654
FBtr0167892	male	female	-0.7776	0.583336398	6500	5599283
FBtr0167893	male	female	0.7115	1.637505781	6500	5615953
FBtr0167894	male	female	-0.7105	0.611108308	6500	5622568
FBtr0167898	male	female	0.592	1.50733491	6500	5646318
FBtr0167899	male	female	-2.664	0.157781504	6500	5657167
FBtr0167901	male	female	1.0898	2.128445279	6500	5667386
FBtr0167902	male	female	0.9767	1.967958776	6500	5670526
FBtr0167904	male	female	-1.8035	0.286478743	6500	5696989
FBtr0167905	male	female	4.2547	19.08940195	6500	5724200
FBtr0167907	male	female	0.8773	1.836934265	6500	5729404
FBtr0167910	male	female	-1.3029	0.405310653	6500	5802217
FBtr0167911	male	female	0.7902	1.72931418	6500	5812435
FBtr0167914	male	female	-1.323	0.399702915	6500	5906735
FBtr0167915	male	female	2.5051	5.676886903	6500	5923841
FBtr0167916	male	female	2.4041	5.293052633	6500	5930794
FBtr0167917	male	female	4.2463	18.97857806	6500	5933814
FBtr0167918	male	female	3.7165	13.14552631	6500	5988883
FBtr0167919	male	female	2.8712	7.316734961	6500	5991377
FBtr0167920	male	female	-1.7241	0.30268729	6500	5992734
FBtr0167924	male	female	-0.9652	0.5122074	6500	6090130
FBtr0167928	male	female	-0.8215	0.565853307	6500	6203682
FBtr0167929	male	female	-1.0513	0.482533162	6500	6209684
FBtr0167931	male	female	0.6157	1.532301294	6500	6233013
FBtr0167934	male	female	0.8061	1.748478432	6500	6283058
FBtr0167935	male	female	0.5936	1.509007525	6500	6358527
FBtr0167939	male	female	-1.7266	0.302163227	6500	6393649
FBtr0167940	male	female	-0.8718	0.54646462	6500	6395904
FBtr0167941	male	female	0.6169	1.533576357	6500	6400797
FBtr0167943	male	female	0.7052	1.630370667	6500	6409762
FBtr0167944	male	female	-0.9724	0.509657515	6500	6414976
FBtr0167945	male	female	0.6272	1.544564373	6500	6422150
FBtr0167947	male	female	-1.0238	0.491819213	6500	6469404
FBtr0167948	male	female	1.0545	2.076998249	6500	6475434
FBtr0167949	male	female	0.8394	1.789305836	6500	6481950
FBtr0167950	male	female	-1.0464	0.484174834	6500	6519332
FBtr0167952	male	female	4.1117	17.28801112	6500	6580994
FBtr0167953	male	female	-0.6924	0.618823547	6500	6613252
FBtr0167954	male	female	-0.6534	0.635780203	6500	6645492
FBtr0167955	male	female	-3.4729	0.090064352	6500	6723270
FBtr0167956	male	female	-1.0602	0.479565573	6500	6768732
FBtr0167958	male	female	-0.7783	0.58305343	6500	6777392
FBtr0167960	male	female	1.0036	2.004996892	6500	6785681
FBtr0167961	male	female	-0.6049	0.657516954	6500	6803606
FBtr0167964	male	female	-1.215	0.43077308	6500	6856816
FBtr0167965	male	female	-1.2986	0.406520497	6500	6859366
FBtr0167967	male	female	-1.2565	0.418558157	6500	6873463
FBtr0167968	male	female	3.0502	8.283267616	6500	6876384
FBtr0167969	male	female	-1.7688	0.293452723	6500	6877885
FBtr0167971	male	female	-1.3112	0.402985546	6500	6897330
FBtr0167972	male	female	-1.1803	0.441259731	6500	6898359
FBtr0167973	male	female	-0.8322	0.561672082	6500	6899405
FBtr0167976	male	female	-1.5092	0.35130597	6500	6938377
FBtr0167977	male	female	-1.2463	0.421527892	6500	6942542
FBtr0167981	male	female	-3.0295	0.122469975	6500	6964350
FBtr0167982	male	female	0.6598	1.579863593	6500	6975344
FBtr0167983	male	female	0.7301	1.658754064	6500	7047154
FBtr0167984	male	female	0.6747	1.596264804	6500	7048979
FBtr0167985	male	female	0.614	1.53049677	6500	7053502
FBtr0167987	male	female	4.8637	29.11518741	6500	7121535
FBtr0167990	male	female	2.8465	7.192533323	6500	7146640
FBtr0167992	male	female	-2.0019	0.249670972	6500	7193366
FBtr0167993	male	female	-3.4708	0.090195546	6500	7199453
FBtr0167994	male	female	-1.3394	0.395184975	6500	7207242
FBtr0167996	male	female	-0.6945	0.617923437	6500	7221568
FBtr0167997	male	female	-0.9781	0.507647862	6500	7232784
FBtr0168000	male	female	0.9219	1.894608812	6500	7252144
FBtr0168001	male	female	4.1392	17.62070815	6500	7253803
FBtr0168003	male	female	2.583	5.991843738	6500	7311400
FBtr0168005	male	female	1.4285	2.691667116	6500	7394276
FBtr0168007	male	female	-0.6344	0.644208678	6500	7442931
FBtr0168009	male	female	-3.0942	0.117098946	6500	7451139
FBtr0168011	male	female	-0.6335	0.644610682	6500	7562291
FBtr0168012	male	female	-1.2043	0.433979861	6500	7564507
FBtr0168017	male	female	-3.4298	0.092795586	6500	7614274
FBtr0168020	male	female	0.9222	1.895002826	6500	7649241
FBtr0168025	male	female	-0.8154	0.568250912	6500	7718765
FBtr0168026	male	female	0.8226	1.768590445	6500	7731099
FBtr0168027	male	female	2.5368	5.803004308	6500	7763692
FBtr0168029	male	female	-1.114	0.462011286	6500	7781860
FBtr0168031	male	female	-2.9602	0.128496414	6500	7798403
FBtr0168032	male	female	0.7781	1.714870935	6500	7806093
FBtr0168033	male	female	2.5388	5.811054559	6500	7815736
FBtr0168035	male	female	2.3938	5.255397905	6500	7827198
FBtr0168040	male	female	0.6887	1.611830457	6500	7880811
FBtr0168041	male	female	-0.8158	0.568093381	6500	7885068
FBtr0168045	male	female	-0.6326	0.645012936	6500	8056270
FBtr0168046	male	female	3.3521	10.21133792	6500	8151280
FBtr0168047	male	female	-1.231	0.426022048	6500	8172896
FBtr0168048	male	female	-1.3246	0.399259876	6500	8174402
FBtr0168050	male	female	0.8522	1.805251699	6500	8232471
FBtr0168051	male	female	2.0659	4.186950901	6500	8232769
FBtr0168055	male	female	-0.8271	0.563661135	6500	8461644
FBtr0168056	male	female	-0.8283	0.563192489	6500	8467591
FBtr0168057	male	female	1.015	2.020902893	6500	8487525
FBtr0168058	male	female	-1.7177	0.304033036	6500	8518964
FBtr0168060	male	female	-2.1899	0.219166621	6500	8540635
FBtr0168063	male	female	5.3123	39.73394131	6500	8688828
FBtr0168064	male	female	3.218	9.304960332	6500	8695471
FBtr0168065	male	female	4.2598	19.15700337	6500	8703023
FBtr0168066	male	female	0.8264	1.773254981	6500	8742837
FBtr0168067	male	female	2.5937	6.036448499	6500	8814184
FBtr0168069	male	female	0.916	1.886876502	6500	8881302
FBtr0168070	male	female	0.7059	1.631161919	6500	8883301
FBtr0168071	male	female	4.1666	17.95856289	6500	8908477
FBtr0168072	male	female	1.0054	2.007500017	6500	8958731
FBtr0168074	male	female	-0.9588	0.514484672	6500	8975642
FBtr0168076	male	female	-1.4323	0.370539693	6500	9018067
FBtr0168079	male	female	-1.1156	0.461499183	6500	9026436
FBtr0168080	male	female	-1.1037	0.46532158	6500	9029235
FBtr0168082	male	female	-1.1013	0.466096311	6500	9037226
FBtr0168083	male	female	3.0078	8.043369518	6500	9045696
FBtr0168085	male	female	4.0016	16.01775441	6500	9067333
FBtr0168087	male	female	4.5514	23.44811429	6500	9142682
FBtr0168088	male	female	4.5716	23.77873397	6500	9170350
FBtr0168089	male	female	4.884	29.52775976	6500	9172058
FBtr0168091	male	female	3.9992	15.99113018	6500	9308317
FBtr0168092	male	female	3.9416	15.36525708	6500	9314240
FBtr0168093	male	female	3.6156	12.25756069	6500	9353158
FBtr0168094	male	female	5.3688	41.32090652	6500	9394325
FBtr0168096	male	female	-0.6749	0.626375635	6500	9451680
FBtr0168099	male	female	0.9472	1.928126892	6500	9528671
FBtr0168100	male	female	2.0629	4.178253427	6500	9550096
FBtr0168101	male	female	2.587	6.008479708	6500	9557217
FBtr0168102	male	female	5.3963	42.11610169	6500	9610713
FBtr0168104	male	female	0.7021	1.626871158	6500	9668307
FBtr0168105	male	female	0.8103	1.753576051	6500	9746106
FBtr0168106	male	female	-1.6979	0.308234446	6500	9770353
FBtr0168107	male	female	0.772	1.707635429	6500	9776899
FBtr0168108	male	female	-0.7736	0.584955994	6500	9778062
FBtr0168109	male	female	3.2545	9.543377888	6500	9926825
FBtr0168111	male	female	-2.1345	0.227746376	6500	10044994
FBtr0168112	male	female	0.6673	1.588098063	6500	10146318
FBtr0168114	male	female	4.38	20.82146969	6500	10269981
FBtr0168122	male	female	0.8094	1.752482454	6500	10374738
FBtr0168127	male	female	0.8307	1.77854811	6500	10539171
FBtr0168130	male	female	-1.0917	0.469208157	6500	10554242
FBtr0168133	male	female	-1.9358	0.261376257	6500	10559990
FBtr0168134	male	female	1.2134	2.318834732	6500	10565516
FBtr0168136	male	female	-0.8756	0.545027149	6500	10600617
FBtr0168137	male	female	1.0634	2.089850875	6500	10607662
FBtr0168139	male	female	2.7537	6.744446268	6500	10711424
FBtr0168143	male	female	1.7771	3.427365378	6500	10864902
FBtr0168144	male	female	2.7582	6.765516134	6500	10866380
FBtr0168145	male	female	3.5901	12.04280869	6500	10869855
FBtr0168149	male	female	0.9772	1.968640937	6500	10980376
FBtr0168150	male	female	0.8392	1.789057802	6500	10984192
FBtr0168151	male	female	1.5468	2.921683698	6500	10988704
FBtr0168152	male	female	-0.6198	0.650761136	6500	10998514
FBtr0168153	male	female	1.9343	3.82192641	6500	11034782
FBtr0168154	male	female	2.626	6.1731207	6500	11039689
FBtr0168155	male	female	1.4539	2.739476067	6500	11045169
FBtr0168156	male	female	3.8253	14.17522765	6500	11125989
FBtr0168159	male	female	4.8672	29.18590704	6500	11250813
FBtr0168164	male	female	5.852	57.76004656	6500	11444517
FBtr0168165	male	female	-0.6293	0.646490018	6500	11449037
FBtr0168166	male	female	0.6067	1.522772055	6500	11493790
FBtr0168171	male	female	-1.4431	0.367776193	6500	11689245
FBtr0168172	male	female	-1.492	0.355519353	6500	11710512
FBtr0168173	male	female	2.3972	5.267797909	6500	11713749
FBtr0168174	male	female	0.9945	1.992389896	6500	11720585
FBtr0168175	male	female	1.4443	2.721307526	6500	11722554
FBtr0168176	male	female	3.6872	12.8812438	6500	11725635
FBtr0168177	male	female	4.8069	27.99117221	6500	11745357
FBtr0168179	male	female	-1.8384	0.279631734	6500	11766192
FBtr0168183	male	female	1.8994	3.730580139	6500	11777589
FBtr0168185	male	female	3.4535	10.95486651	6500	11902078
FBtr0168188	male	female	1.1602	2.234884075	6500	11980165
FBtr0168189	male	female	-1.1083	0.463840275	6500	12044416
FBtr0168192	male	female	0.6138	1.530284613	6500	12228331
FBtr0168193	male	female	3.1092	8.62903961	6500	12340180
FBtr0168201	male	female	3.1905	9.129273144	6500	12565268
FBtr0168203	male	female	2.7768	6.853305502	6500	12570372
FBtr0168207	male	female	-1.4409	0.368337452	6500	12583636
FBtr0168208	male	female	-0.9698	0.510576839	6500	12587707
FBtr0168209	male	female	-0.6775	0.625247808	6500	12590601
FBtr0168210	male	female	-1.4123	0.375712234	6500	12598893
FBtr0168211	male	female	-0.8042	0.572679553	6500	12631987
FBtr0168214	male	female	-0.7098	0.611404892	6500	12687664
FBtr0168215	male	female	3.3517	10.20850713	6500	12728155
FBtr0168218	male	female	-1.5065	0.351964054	6500	12746268
FBtr0168220	male	female	1.0016	2.002219301	6500	12830761
FBtr0168225	male	female	-3.7156	0.076118978	6500	12885188
FBtr0168226	male	female	0.6796	1.601695609	6500	12915787
FBtr0168227	male	female	2.4445	5.443369611	6500	12932176
FBtr0168235	male	female	1.4183	2.672703872	6500	13043814
FBtr0168247	male	female	-0.6817	0.623430222	6500	13304552
FBtr0168249	male	female	2.4159	5.336522766	6500	13459656
FBtr0168251	male	female	5.3181	39.89400336	6500	13517193
FBtr0168253	male	female	0.9344	1.911095668	6500	13520126
FBtr0168254	male	female	1.4947	2.818055451	6500	13521521
FBtr0168259	male	female	-1.6223	0.324817215	6500	13596395
FBtr0168260	male	female	4.7494	26.89749661	6500	13619367
FBtr0168261	male	female	2.2691	4.820223361	6500	13621224
FBtr0168263	male	female	-0.7456	0.596419776	6500	13641228
FBtr0168264	male	female	-0.9943	0.501979377	6500	13661168
FBtr0168268	male	female	0.6777	1.599587597	6500	13741986
FBtr0168270	male	female	4.4624	22.04531215	6500	13782622
FBtr0168271	male	female	3.5403	11.63419915	6500	13784679
FBtr0168272	male	female	2.7858	6.896192279	6500	13786225
FBtr0168276	male	female	-1.587	0.332862903	6500	13847829
FBtr0168280	male	female	5.1562	35.65913989	6500	13942134
FBtr0168281	male	female	5.8228	56.60274051	6500	14088232
FBtr0168282	male	female	2.902	7.474618775	6500	14104144
FBtr0168283	male	female	0.8346	1.783362517	6500	14118332
FBtr0168284	male	female	1.4102	2.657740044	6500	14187491
FBtr0168288	male	female	-1.8419	0.278954166	6500	14276017
FBtr0168289	male	female	-0.7113	0.610769532	6500	14286586
FBtr0168290	male	female	-1.7454	0.298251231	6500	14297952
FBtr0168291	male	female	3.4794	11.15330983	6500	14375057
FBtr0168293	male	female	-0.7804	0.582205349	6500	14422493
FBtr0168300	male	female	-0.7654	0.588290237	6500	14663087
FBtr0168301	male	female	0.6364	1.554445462	6500	14695723
FBtr0168302	male	female	-1.322	0.399980064	6500	14714532
FBtr0168303	male	female	-0.626	0.647970483	6500	14736141
FBtr0168304	male	female	-0.6174	0.651844613	6500	14739330
FBtr0168306	male	female	-0.9215	0.527959804	6500	14753660
FBtr0168309	male	female	-1.8468	0.278008327	6500	14793528
FBtr0168310	male	female	3.3911	10.49114328	6500	14799079
FBtr0168313	male	female	2.1658	4.487151828	6500	14858145
FBtr0168318	male	female	-0.601	0.659296807	6500	14881630
FBtr0168320	male	female	0.5996	1.515296379	6500	14974601
FBtr0168321	male	female	1.0678	2.096234331	6500	15005614
FBtr0168322	male	female	-0.7632	0.589188019	6500	15040748
FBtr0168323	male	female	1.2415	2.364442405	6500	15160216
FBtr0168325	male	female	-1.4344	0.370000724	6500	15170545
FBtr0168326	male	female	-1.2562	0.418645203	6500	15172204
FBtr0168327	male	female	-1.0415	0.485822092	6500	15191704
FBtr0168328	male	female	-1.4765	0.359359567	6500	15194154
FBtr0168329	male	female	-0.6402	0.641623995	6500	15195848
